账号输入框,密码输入框,验证码输入框,登录按钮
账号空,密码不存在,验证码正常,取消
账号不存在,密码不存在,验证码过长,确定
账号正常,密码空,验证码空,确定
账号不存在,密码正常,验证码正常,确定
账号正常,密码空,验证码正常,取消
账号不存在,密码空,验证码匹配已过期,确定
账号过短,密码正常,验证码匹配已过期,取消
账号过短,密码过长,验证码不匹配,取消
账号正常,密码不存在,验证码空,取消
账号过长,密码过短,验证码正常,取消
账号过短,密码空,验证码空,确定
账号过短,密码不存在,验证码不匹配,确定
账号不存在,密码不存在,验证码过短,取消
账号过长,密码正常,验证码过长,确定
账号过长,密码过长,验证码不匹配,确定
账号正常,密码过短,验证码过长,取消
账号空,密码正常,验证码不匹配,确定
账号不存在,密码过短,验证码空,确定
账号不存在,密码过长,验证码不匹配,确定
账号空,密码不存在,验证码匹配已过期,确定
账号空,密码过长,验证码过长,确定
账号过短,密码过长,验证码正常,确定
账号过短,密码过短,验证码过长,确定
账号过长,密码空,验证码过长,确定
账号正常,密码正常,验证码过短,确定
账号正常,密码过长,验证码空,确定
账号过长,密码不存在,验证码空,确定
账号空,密码过短,验证码过短,确定
账号过短,密码过长,验证码过短,确定
账号过长,密码过短,验证码匹配已过期,确定
账号空,密码空,验证码空,确定
账号过长,密码空,验证码过短,确定
账号正常,密码空,验证码不匹配,确定
账号正常,密码过长,验证码匹配已过期,确定
账号空,密码过短,验证码不匹配,确定
账号空,密码正常,验证码空,确定
